"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACTIVE_VOD__C","CHILD_OBJECT_NAME_VOD__C","CHILD_RELATIONSHIP_VOD__C","INCLUDE_RELATED_OBJECTS_VOD__C","OBJECT_NAME_VOD__C","PARENT_OBJECT_NAME_VOD__C","PROFILE_ID_VOD__C","RELATIONSHIP_FIELD_VOD__C","RELATIONSHIP_NAME_VOD__C","TYPE_VOD__C","WHERE_CLAUSE_VOD__C","PROFILE_NAME_VOD__C","META_DATA_ONLY_VOD__C","ACCOUNT_LOOKUP_FIELD_VOD__C","DEVICE_VOD__C","EXCLUDE_FIELD_LIST_VOD__C","FIELD_LIST_VOD__C","EXTERNAL_ID_VOD__C","INCLUDE_ATTACHMENTS_VOD__C","ENABLE_ENHANCED_SYNC_VOD__C","MRK_EXTERNAL_ID__C"
"a0xU0000000DHkaIAG","005U0000000XLdfIAG","false","TSM-0000173","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Group","","","","","F","","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHkbIAG","005U0000000XLdfIAG","false","TSM-0000174","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Key_Message_vod__c","","","","","F","WHERE (Active_vod__c = true OR (Active_vod__c = false AND LastModifiedDate >= LAST_N_DAYS:60 ))","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHkcIAG","005U0000000XLdfIAG","false","TSM-0000175","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Message_vod__c","","","","","F","WHERE Language_vod__c in (@@VOD_USER_LANG_CD@@,'en_US')","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHkdIAG","005U0000000XLdfIAG","false","TSM-0000176","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","My_Setup_Products_vod__c","","","","","F","WHERE OwnerID = @@VOD_SF_USER_ID@@","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHkeIAG","005U0000000XLdfIAG","false","TSM-0000177","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Preferences_vod__c","","","","","F","Where OwnerId = @@VOD_SF_USER_ID@@","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHkfIAG","005U0000000XLdfIAG","false","TSM-0000178","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Product_vod__c","","","","","F","","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHkgIAG","005U0000000XLdfIAG","false","TSM-0000179","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Affiliation_vod__c","","","","","F","WHERE (To_Account_vod__r.Name != null OR From_Account_vod__r.Name  != null OR To_Contact_vod__r.Name  != null or From_Contact_vod__r.Name != null)","","false","From_Account_vod__c","","","","","false","false",""
"a0xU0000000DHkhIAG","005U0000000XLdfIAG","false","TSM-0000180","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Product_Strategy_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkiIAG","005U0000000XLdfIAG","false","TSM-0000181","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Product_Tactic_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkjIAG","005U0000000XLdfIAG","false","TSM-0000182","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","RecordType","","","","","F","","","false","","","","","","false","false",""
